Date,Open,High,Low,Close,Volume
18-May-15,80.33,81.38,80.23,80.88,21613674
15-May-15,81.41,81.52,80.18,80.42,27069884
14-May-15,78.94,81.84,78.67,81.37,49437996
13-May-15,77.72,78.53,77.65,78.44,21512309
12-May-15,77.87,77.89,76.79,77.46,21285310
11-May-15,78.48,79.03,77.93,78.01,18874054
8-May-15,79.10,79.23,78.03,78.51,19943595
7-May-15,78.00,78.94,77.56,78.42,19749428
6-May-15,77.97,78.81,77.05,78.10,28663026
5-May-15,78.55,78.80,77.22,77.56,22311318
4-May-15,79.33,79.69,78.63,78.81,14691991
1-May-15,79.24,79.76,78.11,78.99,24136358
30-Apr-15,80.01,80.96,78.32,78.77,28999005
29-Apr-15,80.01,81.39,79.52,80.46,26430258
28-Apr-15,81.83,81.90,80.23,80.68,23775344
27-Apr-15,81.87,82.93,81.63,81.91,25446032
24-Apr-15,82.77,82.94,81.48,81.53,29660356
23-Apr-15,84.10,85.59,82.41,82.41,73728080
22-Apr-15,84.32,84.74,83.65,84.63,45547963
21-Apr-15,84.00,84.49,83.54,83.62,27171852
20-Apr-15,81.54,83.15,81.24,83.09,28796761
17-Apr-15,81.48,82.11,80.37,80.78,24214983
16-Apr-15,82.47,83.07,82.15,82.31,13769687
15-Apr-15,83.55,83.66,82.27,82.70,22390943
14-Apr-15,83.17,83.69,82.44,83.52,19634173
13-Apr-15,81.93,83.94,81.92,83.01,26883094
10-Apr-15,82.21,82.61,81.91,82.04,12529738
9-Apr-15,82.50,82.80,81.71,82.17,15927281
8-Apr-15,82.63,83.10,81.84,82.28,18966732
7-Apr-15,82.65,83.42,82.22,82.32,17467042
6-Apr-15,80.80,82.81,80.80,82.44,19062934
2-Apr-15,82.25,82.56,81.44,81.56,19664053
1-Apr-15,82.50,82.72,80.87,81.66,22058167
31-Mar-15,82.90,83.50,82.21,82.22,19734277
30-Mar-15,83.81,84.34,82.41,83.20,24527686
27-Mar-15,83.38,83.95,82.88,83.30,18372582
26-Mar-15,82.72,83.77,82.14,83.01,32794800
25-Mar-15,85.50,85.52,82.92,82.92,37436147
24-Mar-15,84.71,86.07,84.52,85.31,32576522
23-Mar-15,83.92,84.96,83.30,84.43,27357333
20-Mar-15,83.39,84.60,83.07,83.80,44466323
19-Mar-15,81.12,83.00,81.00,82.75,42099523
18-Mar-15,79.25,81.24,79.17,80.91,36912446
17-Mar-15,78.36,79.78,78.34,79.36,22169969
16-Mar-15,77.96,78.12,77.36,78.07,19305406
13-Mar-15,78.60,79.38,77.68,78.05,18557296
12-Mar-15,78.10,79.05,77.91,78.93,16093319
11-Mar-15,77.80,78.43,77.26,77.57,20215704
10-Mar-15,78.50,79.26,77.55,77.55,23067057
9-Mar-15,79.68,79.91,78.63,79.44,18925097
6-Mar-15,80.90,81.33,79.83,80.00,24488581
5-Mar-15,81.23,81.99,81.05,81.21,27825733
4-Mar-15,79.30,81.15,78.85,80.90,28126686
3-Mar-15,79.61,79.70,78.52,79.60,18634973
2-Mar-15,79.00,79.86,78.52,79.75,21662537
27-Feb-15,80.68,81.23,78.62,78.97,30739197
26-Feb-15,79.88,81.37,79.72,80.41,31111891
25-Feb-15,78.50,80.20,78.50,79.56,25593800
24-Feb-15,78.50,79.48,78.10,78.45,18897133
23-Feb-15,79.96,80.19,78.38,78.84,24139056
20-Feb-15,79.55,80.34,79.20,79.90,36931698
