Date,Open,High,Low,Close,Volume
5-May-15,203.29,203.42,198.64,199.83,4150159
4-May-15,208.40,209.25,200.36,203.42,5839657
1-May-15,206.86,209.50,198.40,205.21,16842432
30-Apr-15,256.40,256.78,250.16,252.13,6162882
29-Apr-15,256.03,259.14,255.25,257.15,1096686
28-Apr-15,261.14,262.52,255.52,257.34,1552730
27-Apr-15,262.76,264.70,259.50,260.29,1055867
24-Apr-15,258.32,262.76,257.24,260.95,1318766
23-Apr-15,258.46,260.13,256.06,256.24,851266
22-Apr-15,259.07,260.87,257.09,259.35,880562
21-Apr-15,260.64,262.38,257.91,258.42,1136257
20-Apr-15,255.40,265.56,253.80,258.52,2122033
17-Apr-15,256.25,257.06,252.28,253.75,1118173
16-Apr-15,257.01,259.53,256.48,257.07,838054
15-Apr-15,258.98,259.99,256.47,257.19,904213
14-Apr-15,262.03,264.58,256.29,257.50,1509746
13-Apr-15,264.00,266.53,261.63,263.16,1455692
10-Apr-15,260.50,265.46,260.02,265.35,2305904
9-Apr-15,251.02,256.50,247.65,256.14,1481160
8-Apr-15,250.56,255.84,250.32,252.26,1061134
7-Apr-15,248.51,253.53,248.51,249.81,936866
6-Apr-15,246.01,251.68,245.35,249.31,821621
2-Apr-15,249.71,250.28,246.88,248.82,651612
1-Apr-15,249.92,251.05,246.23,248.32,1114247
31-Mar-15,254.46,255.37,249.86,249.86,1105231
30-Mar-15,257.90,258.98,252.81,255.19,791931
27-Mar-15,256.00,258.05,253.81,256.71,577538
26-Mar-15,254.09,256.70,252.33,255.79,849093
25-Mar-15,264.18,264.61,255.04,256.05,1175170
24-Mar-15,262.93,267.28,261.88,264.16,1110627
23-Mar-15,264.25,264.87,260.75,261.84,664854
20-Mar-15,262.50,265.10,261.01,264.25,1198215
19-Mar-15,259.90,263.00,258.11,260.58,750932
18-Mar-15,258.52,260.46,255.45,260.15,1594567
17-Mar-15,254.99,260.00,254.01,258.71,1337190
16-Mar-15,259.80,260.60,256.00,260.17,1067582
13-Mar-15,263.63,263.88,258.00,259.12,1700504
12-Mar-15,265.70,268.20,265.04,266.42,944113
11-Mar-15,265.14,268.79,263.40,264.95,1211288
10-Mar-15,264.85,266.71,262.00,265.00,1178705
9-Mar-15,264.45,267.83,263.80,267.21,827127
6-Mar-15,268.03,271.95,263.78,264.63,1595936
5-Mar-15,265.25,268.98,265.25,268.34,1115621
4-Mar-15,264.95,266.00,260.62,265.23,1240877
3-Mar-15,268.67,272.55,263.79,265.54,1196439
2-Mar-15,267.45,269.87,264.77,269.42,894309
27-Feb-15,269.94,271.90,266.91,267.20,985208
26-Feb-15,272.31,276.18,270.10,270.76,2256384
25-Feb-15,264.39,271.43,263.90,269.00,1266377
24-Feb-15,265.11,266.37,262.55,264.26,850186
23-Feb-15,267.00,271.07,263.31,264.21,1165313
20-Feb-15,265.57,268.80,264.68,267.63,953299
19-Feb-15,265.08,268.32,264.21,266.34,974052
18-Feb-15,261.30,267.80,260.06,266.91,1850978
17-Feb-15,269.63,272.94,265.25,265.75,1416628
13-Feb-15,266.79,269.75,264.52,269.00,1992840
12-Feb-15,268.94,271.44,265.69,267.17,1871627
11-Feb-15,268.98,272.00,267.11,267.92,2159902
10-Feb-15,268.97,274.19,268.50,269.75,2645784
9-Feb-15,262.75,269.83,262.01,267.43,3039390
6-Feb-15,262.95,272.96,261.00,263.40,6920181
5-Feb-15,234.21,238.20,231.08,237.97,3951653
4-Feb-15,232.50,234.00,228.29,232.03,1714937
3-Feb-15,230.72,235.50,228.00,232.76,2394409
2-Feb-15,225.55,226.44,219.16,224.57,1111183
30-Jan-15,222.15,228.32,222.15,224.74,1313810
29-Jan-15,219.89,223.67,215.73,223.04,799425
28-Jan-15,225.63,225.63,218.89,220.46,939484
